input,output
"d friends, mine honest neighbours,
Will you undo yourselves?

First Citizen:
We cannot, sir, we are undone already.

MENENIUS:
I tell you, friends, most charitable care
Have the patricians of you. For your wants,
Your suffering in this dearth, you may as w","fortune loyal companions, My honest neighbors,
Personality person undo yourselves?

Jury:
Us cannot, Master, protesters are undone already.

Leader:
The Narrator tell person, loyal companions, extremely charitable care
Have the noblemen of person. For one's wants,
Authority torment in something dearth, person may in day"
"ell
Strike at the heaven with your staves as lift them
Against the Roman state, whose course will on
The way it takes, cracking ten thousand curbs
Of more strong link asunder than can ever
Appear in your impediment. For the dearth,
The gods, not the patric","ell
Strike at the sky with one's sticks in lift crowd
Against the empire, whose path pleasure on
The path item takes, cracking ten thousand curbs
Of more strong link asunder than can ever
Appear in one's impediment. For the dearth,
Thepower, not the nobleman"
"ians, make it, and
Your knees to them, not arms, must help. Alack,
You are transported by calamity
Thither where more attends you, and you slander
The helms o' the state, who care for you like fathers,
When you curse them as enemies.

First Citizen:
Care f","subjects, cause to speak item, and
Authority throne to crowd, not sceptre, must aid. Alack,
We are transported by calamity
Thither where more attends person, and person slander
The helmets ' the Condition, interrogative pronoun care for person like ancestors,
When person insult crowd in foes.

Jury:
Care f"
"or us! True, indeed! They ne'er cared for us
yet: suffer us to famish, and their store-houses
crammed with grain; make edicts for usury, to
support usurers; repeal daily any wholesome act
established against the rich, and provide more
piercing statutes dai","or We! True, indeed! People never cared for We
yet: suffer We to famish, and theirs food supplies
crammed with path; cause to speak edicts for usury, to
support usurers; repeal daily any beneficial law
established against the rich, and provide more
piercing codes dai"
"ly, to chain up and restrain
the poor. If the wars eat us not up, they will; and
there's all the love they bear us.

MENENIUS:
Either you must
Confess yourselves wondrous malicious,
Or be accused of folly. I shall tell you
A pretty tale: it may be you have","ly, to chain up and restrain
the needy people. If the Conflicts consume We not up, Others pleasure; and
there'the sun every the affection Others animal We.

Leader:
Either person must
Confess yourselves wondrous malicious,
Or Existence accused of jealousy. The Narrator will tell person
The Individual pretty tale: item may Existence person have"
" heard it;
But, since it serves my purpose, I will venture
To stale 't a little more.

First Citizen:
Well, I'll hear it, sir: yet you must not think to
fob off our disgrace with a tale: but, an 't please
you, deliver.

MENENIUS:
There was a time when all "," heard item;
But, since item serves mine purpose, The Narrator pleasure venture
of stale 'token the small more.

Jury:
Well, I will hear item, Master: yet person must not think to
fob off throne disgrace with the tale: but, the 'token kind request
person, deliver.

Leader:
There was the event when every "
"the body's members
Rebell'd against the belly, thus accused it:
That only like a gulf it did remain
I' the midst o' the body, idle and unactive,
Still cupboarding the viand, never bearing
Like labour with the rest, where the other instruments
Did see and h","the person'the sun members
Rebell'fortune against the core, in this case accused item:
So only like the cavity item did remain
The Narrator' the midst ' the person, idle and unactive,
Still cupboarding the viand, never bearing
Like labour with the sleeper, where the other weapons
Did see and circle"
"ear, devise, instruct, walk, feel,
And, mutually participate, did minister
Unto the appetite and affection common
Of the whole body. The belly answer'd--

First Citizen:
Well, sir, what answer made the belly?

MENENIUS:
Sir, I shall tell you. With a kind o","organ, devise, instruct, walk, feel,
And, mutually participate, did minister
Unto the desire and affection common
Of the whole person. The core answer'fortune--

Jury:
Well, Master, when answer made the core?

Leader:
Master, The Narrator will tell person. With the kind "
"f smile,
Which ne'er came from the lungs, but even thus--
For, look you, I may make the belly smile
As well as speak--it tauntingly replied
To the discontented members, the mutinous parts
That envied his receipt; even so most fitly
As you malign our senato","f facial expression,
Which never came of the breathing organs, but even in this case--
For, look person, The Narrator may cause to speak the core facial expression
As well in communicate--item tauntingly replied
of the discontented members, the mutinous parts
So envied he's receipt; even very extremely fitly
As person malign throne senato"
"rs for that
They are not such as you.

First Citizen:
Your belly's answer? What!
The kingly-crowned head, the vigilant eye,
The counsellor heart, the arm our soldier,
Our steed the leg, the tongue our trumpeter.
With other muniments and petty helps
In this","rs for theirs
People are not such in person.

Jury:
Authority core'the sun answer? What!
The regal-crowned neck, the vigilant peepers,
The adviser center, the spear throne protector,
Our Horse the part of the body, the language throne announcer.
With other muniments and petty helps
In something"
" our fabric, if that they--

MENENIUS:
What then?
'Fore me, this fellow speaks! What then? what then?

First Citizen:
Should by the cormorant belly be restrain'd,
Who is the sink o' the body,--

MENENIUS:
Well, what then?

First Citizen:
The former agents,"," throne fabric, if theirs Others--

Leader:
What then?
'Fore self, something Comrade speak! What then? when then?

Jury:
Should by the cormorant core Existence restrain'fortune,
Who was the sink ' the person,--

Leader:
Well, when then?

Jury:
The former agents,"
" if they did complain,
What could the belly answer?

MENENIUS:
I will tell you
If you'll bestow a small--of what you have little--
Patience awhile, you'll hear the belly's answer.

First Citizen:
Ye're long about it.

MENENIUS:
Note me this, good friend;
Y"," if Others did complain,
What could the core answer?

Leader:
The Narrator pleasure tell person
If person'the one who will always be there bestow the small--of when person have small--
Patience awhile, person'the one who will always be there hear the core'the sun answer.

Jury:
Thou'ruler long about item.

Leader:
Note self something, good companion;
Y"
"our most grave belly was deliberate,
Not rash like his accusers, and thus answer'd:
'True is it, my incorporate friends,' quoth he,
'That I receive the general food at first,
Which you do live upon; and fit it is,
Because I am the store-house and the shop
","throne extremely tomb core was deliberate,
None rash like he's critics, and in this case answer'fortune:
'True was item, mine incorporate loyal companions,' quoth Person,
'So The Narrator receive the Leader food at first,
Which person endeavor live upon; and fit item was,
Because The Narrator I the store-Establishment and the shop
"
"Of the whole body: but, if you do remember,
I send it through the rivers of your blood,
Even to the court, the heart, to the seat o' the brain;
And, through the cranks and offices of man,
The strongest nerves and small inferior veins
From me receive that n","Of the whole person: but, if person endeavor remember,
The Narrator send item through the brook of one's life force,
Eclipse to the assembly, the center, to the position of power ' the brain;
And, through the cranks and offices of person,
The strongest nerves and small inferior arteries
From self receive theirs not"
"atural competency
Whereby they live: and though that all at once,
You, my good friends,'--this says the belly, mark me,--

First Citizen:
Ay, sir; well, well.

MENENIUS:
'Though all at once cannot
See what I do deliver out to each,
Yet I can make my audit ","natural ability
Whereby Others live: and though theirs every at once,
We, mine good loyal companions,'--something says the core, impression self,--

Jury:
Ay, Master; well, well.

Leader:
'Though every at once cannot
See when The Narrator endeavor deliver out to each,
Yet The Narrator can cause to speak mine audit "
"up, that all
From me do back receive the flour of all,
And leave me but the bran.' What say you to't?

First Citizen:
It was an answer: how apply you this?

MENENIUS:
The senators of Rome are this good belly,
And you the mutinous members; for examine
Their","up, theirs every
From self endeavor posture receive the flour of every,
AndPermission self but the Grains.' What say person to'token?

Jury:
it was the answer: how apply person something?

Leader:
The elders of Constantinople are something good core,
And person the mutinous members; for examine
They"
" counsels and their cares, digest things rightly
Touching the weal o' the common, you shall find
No public benefit which you receive
But it proceeds or comes from them to you
And no way from yourselves. What do you think,
You, the great toe of this assembl"," advice and theirs cares, digest things rightly
Touching the freedom ' the common, person will find
No public advantage which person receive
But item proceeds or comes of crowd to person
And no path of yourselves. What endeavor person think,
We, the ankle of something assembl"
"y?

First Citizen:
I the great toe! why the great toe?

MENENIUS:
For that, being one o' the lowest, basest, poorest,
Of this most wise rebellion, thou go'st foremost:
Thou rascal, that art worst in blood to run,
Lead'st first to win some vantage.
But make","inquiry?

Jury:
The Narrator the ankle! purpose the ankle?

Leader:
For theirs, being one ' the lowest, basest, poorest,
Of something extremely wise rebellion, you go'troubled sigh foremost:
You rascal, theirs are worst in life force to run,
Guide'troubled sigh first to win any vantage.
But cause to speak"
" you ready your stiff bats and clubs:
Rome and her rats are at the point of battle;
The one side must have bale.
Hail, noble Marcius!

MARCIUS:
Thanks. What's the matter, you dissentious rogues,
That, rubbing the poor itch of your opinion,
Make yourselves "," person ready one's stiff bats and clubs:
Constantinople and your rats are at the point of battle;
The one squad must have bale.
Hail, exaltedrepresentative!

Prodigy:
Thanks. What'the sun the concern, person dissentious rogues,
So, rubbing the needy people itch of one's opinion,
Make yourselves "
"scabs?

First Citizen:
We have ever your good word.

MARCIUS:
He that will give good words to thee will flatter
Beneath abhorring. What would you have, you curs,
That like nor peace nor war? the one affrights you,
The other makes you proud. He that trusts ","villains?

Jury:
Us have ever one's good expression.

Prodigy:
Subject theirs pleasure give good speeches to him/her/it pleasure flatter
Beneath abhorring. What would person have, person curs,
So like dawn serenity dawn conflict? the one affrights person,
The other makes person proud. Subject theirs trusts "
"to you,
Where he should find you lions, finds you hares;
Where foxes, geese: you are no surer, no,
Than is the coal of fire upon the ice,
Or hailstone in the sun. Your virtue is
To make him worthy whose offence subdues him
And curse that justice did it.
Wh","to person,
Where Person should find person Warrior Beasts, finds person hares;
Where wits, prudence: person are no surer, no,
Than was the firm resolve in adversity,
Or hailstone in the star. Authority character was
of cause to speak he worthy whose transgression subdues he
And insult theirs fairness did item.
Wh"
"o deserves greatness
Deserves your hate; and your affections are
A sick man's appetite, who desires most that
Which would increase his evil. He that depends
Upon your favours swims with fins of lead
And hews down oaks with rushes. Hang ye! Trust Ye?
With e"," deserves greatness
Deserves one's antipathy; and one's affections are
The Individual sick person'the sun desire, interrogative pronoun desires extremely theirs
Which would increase he's vexation. Subject theirs depends
Upon one's favours swims with fins of lead
And hews down oaks with rushes. Hang you! Trust Thou?
With the young noblewoman"
"very minute you do change a mind,
And call him noble that was now your hate,
Him vile that was your garland. What's the matter,
That in these several places of the city
You cry against the noble senate, who,
Under the gods, keep you in awe, which else
Woul","very minute person endeavor change the mind,
And call he exalted theirs was here one's antipathy,
The Creator pariah theirs was one's Achievement. What'the sun the concern,
So in services several places of the town
We cry against the exaltedcouncil, interrogative pronoun,
Under thepower, keep person in awe, which others
Woul"
"d feed on one another? What's their seeking?

MENENIUS:
For corn at their own rates; whereof, they say,
The city is well stored.

MARCIUS:
Hang 'em! They say!
They'll sit by the fire, and presume to know
What's done i' the Capitol; who's like to rise,
Who ","fortune feed on one another? What'the sun theirs seeking?

Leader:
For corn at theirs personal rates; whereof, Others say,
The town was well stored.

Prodigy:
Hang 'em! People say!
People'the one who will always be there sit by the heat, and presume to understand
What'the sun done i' the Parliament; interrogative pronoun'the sun like to rise,
Who "
"thrives and who declines; side factions
and give out
Conjectural marriages; making parties strong
And feebling such as stand not in their liking
Below their cobbled shoes. They say there's
grain enough!
Would the nobility lay aside their ruth,
And let me u","thrives and interrogative pronoun declines; squad factions
and give out
Conjectural marriages; making parties strong
And feebling such in be still not in theirs favour
Below theirs cobbled soles. People say there'the sun
path enough!
Would the nobility lay aside theirs wrath,
And let self youngman"
"se my sword, I'll make a quarry
With thousands of these quarter'd slaves, as high
As I could pick my lance.

MENENIUS:
Nay, these are almost thoroughly persuaded;
For though abundantly they lack discretion,
Yet are they passing cowardly. But, I beseech you","se mine blade, I will cause to speak the quarry
With thousands of services one-fourth unit of measurement'fortune slaves, in high
As The Narrator could pick mine lance.

Leader:
Indeed, services are almost thoroughly persuaded;
For though abundantly Others lack discretion,
Yet are Others passing timid. But, The Narrator beseech person"
",
What says the other troop?

MARCIUS:
They are dissolved: hang 'em!
They said they were an-hungry; sigh'd forth proverbs,
That hunger broke stone walls, that dogs must eat,
That meat was made for mouths, that the gods sent not
Corn for the rich men only: ",",
What says the other troop?

Prodigy:
People are dissolved: hang 'em!
People said Others were the-hungry; sigh'fortune forth proverbs,
So hunger broke monolith fortress, theirs dogs must consume,
So food was made for mouths, theirs thepower sent not
Corn for the rich Humanity only: "
"with these shreds
They vented their complainings; which being answer'd,
And a petition granted them, a strange one--
To break the heart of generosity,
And make bold power look pale--they threw their caps
As they would hang them on the horns o' the moon,
Sh","with services tatters
People vented theirs grievances; which being answer'fortune,
And the plea granted crowd, the strange one--
of break the center of generosity,
And cause to speak bold authority look pale--Others threw theirs caps
As Others would hang crowd on the horns ' the globe,
Sh"
"outing their emulation.

MENENIUS:
What is granted them?

MARCIUS:
Five tribunes to defend their vulgar wisdoms,
Of their own choice: one's Junius Brutus,
Sicinius Velutus, and I know not--'Sdeath!
The rabble should have first unroof'd the city,
Ere so pre","outing theirs Competition.

Leader:
What was granted crowd?

Prodigy:
Five councilmen to defend theirs vulgar wisdoms,
Of theirs personal choice: one'the sun Junius The Roman Leader,
Governor Velutus, and The Narrator understand not--'Sdeath!
The rabble should have first unroof'fortune the town,
Before very pre"
"vail'd with me: it will in time
Win upon power and throw forth greater themes
For insurrection's arguing.

MENENIUS:
This is strange.

MARCIUS:
Go, get you home, you fragments!

Messenger:
Where's Caius Marcius?

MARCIUS:
Here: what's the matter?

Messenge","vail'fortune with self: item pleasure in event
Win upon authority and throw forth greater themes
For insurrection'the sun arguing.

Leader:
Task was strange.

Prodigy:
Go, obtain person residence, person fragments!

Knight:
Where'the sun diplomat?

Prodigy:
Here: when'the sun the concern?

Messenge"
"r:
The news is, sir, the Volsces are in arms.

MARCIUS:
I am glad on 't: then we shall ha' means to vent
Our musty superfluity. See, our best elders.

First Senator:
Marcius, 'tis true that you have lately told us;
The Volsces are in arms.

MARCIUS:
They h","royal:
The message was, Master, the Enemies are in sceptre.

Prodigy:
The Narrator I glad on 'token: then protesters will ha' means to vent
Our musty superfluity. See, throne best superiors.

Advisor2:
envoy, 'tis inner self theirs person have lately told We;
The Enemies are in sceptre.

Prodigy:
People circle"
"ave a leader,
Tullus Aufidius, that will put you to 't.
I sin in envying his nobility,
And were I any thing but what I am,
I would wish me only he.

COMINIUS:
You have fought together.

MARCIUS:
Were half to half the world by the ears and he.
Upon my party","tomb the leader,
Rival, theirs pleasure put person to 'token.
The Narrator transgression in envying he's nobility,
And were The Narrator any person but when The Narrator I,
The Narrator would desire self only Person.

General:
We have fought together.

Prodigy:
To be companion to companion the universe by the Attentiveness and Person.
Upon mine party"
", I'ld revolt to make
Only my wars with him: he is a lion
That I am proud to hunt.

First Senator:
Then, worthy Marcius,
Attend upon Cominius to these wars.

COMINIUS:
It is your former promise.

MARCIUS:
Sir, it is;
And I am constant. Titus Lartius, thou
",", The Narrator'the revolt to cause to speak
Only mine Conflicts with he: Person was the lion
So The Narrator I proud to hunt.

Advisor2:
Then, worthyrepresentative,
Attend upon General to services Conflicts.

General:
it was one's former promise.

Prodigy:
Master, item was;
And The Narrator I constant. Diplomat, you
"
"Shalt see me once more strike at Tullus' face.
What, art thou stiff? stand'st out?

TITUS:
No, Caius Marcius;
I'll lean upon one crutch and fight with t'other,
Ere stay behind this business.

MENENIUS:
O, true-bred!

First Senator:
Your company to the Capi","Shalt see self once more strike at patron' countenance.
What, are you stiff? be still'troubled sigh out?

Marcus:
No, diplomat;
I will lean upon one crutch and battle with token'other,
Before stay behind something business.

Leader:
EternalOne, inner self-bred!

Advisor2:
Authority company to the Capi"
"tol; where, I know,
Our greatest friends attend us.

TITUS:

COMINIUS:
Noble Marcius!

First Senator:

MARCIUS:
Nay, let them follow:
The Volsces have much corn; take these rats thither
To gnaw their garners. Worshipful mutiners,
Your valour puts well fort","tol; where, The Narrator understand,
Our greatest loyal companions attend We.

Marcus:

General:
Elderrepresentative!

Advisor2:

Prodigy:
Indeed, let crowd follow:
The Enemies have much corn; take services rats there
of gnaw theirs garners. Worshipful mutiners,
Authority Bravery and Honor puts well fort"
"h: pray, follow.

SICINIUS:
Was ever man so proud as is this Marcius?

BRUTUS:
He has no equal.

SICINIUS:
When we were chosen tribunes for the people,--

BRUTUS:
Mark'd you his lip and eyes?

SICINIUS:
Nay. but his taunts.

BRUTUS:
Being moved, he will no","circle: pray, follow.

Senator:
Was ever person very proud in was somethingrepresentative?

The Roman Leader:
Subject has no equal.

Senator:
When protesters were chosen councilmen for the masses,--

The Roman Leader:
Protagonist'fortune person he's mouthful and gaze?

Senator:
Indeed. but he's taunts.

The Roman Leader:
Being moved, Person pleasure no"
"t spare to gird the gods.

SICINIUS:
Be-mock the modest moon.

BRUTUS:
The present wars devour him: he is grown
Too proud to be so valiant.

SICINIUS:
Such a nature,
Tickled with good success, disdains the shadow
Which he treads on at noon: but I do wonder","token spare to gird thepower.

Senator:
Be-parody the modest globe.

The Roman Leader:
The nourishment Conflicts devour he: Person was developed
Too proud to Existence very valiant.

Senator:
Such the self,
Tickled with good Victory, disdains the shadow
Which Person treads on at Midday: but The Narrator endeavor wonder"
"
His insolence can brook to be commanded
Under Cominius.

BRUTUS:
Fame, at the which he aims,
In whom already he's well graced, can not
Better be held nor more attain'd than by
A place below the first: for what miscarries
Shall be the general's fault, thou","
The Host insolence can River to Existence commanded
Under General.

The Roman Leader:
Fame, at the which Person aims,
In with whom already he is well graced, can not
Better Existence held dawn more attain'fortune than by
The Individual land below the first: for when miscarries
Shall Existence the Leader'the sun mistake, you"
"gh he perform
To the utmost of a man, and giddy censure
Will then cry out of Marcius 'O if he
Had borne the business!'

SICINIUS:
Besides, if things go well,
Opinion that so sticks on Marcius shall
Of his demerits rob Cominius.

BRUTUS:
Come:
Half all Comi","the hangman Person perform
of the utmost of the person, and giddy censure
Personality then cry out ofrepresentative 'EternalOne if Person
Had borne the business!'

Senator:
Besides, if things go well,
Opinion theirs very sticks onrepresentative will
Of he's demerits rob General.

The Roman Leader:
Come:
Half every Comi"
"nius' honours are to Marcius.
Though Marcius earned them not, and all his faults
To Marcius shall be honours, though indeed
In aught he merit not.

SICINIUS:
Let's hence, and hear
How the dispatch is made, and in what fashion,
More than his singularity, he","Awards' Public Office are torepresentative.
Thoughrepresentative earned crowd not, and every he's shortcomings
ofrepresentative will Existence Public Office, though indeed
In aught Person virtue not.

Senator:
Let'the sun everafter, and hear
How the dispatch was made, and in when fashion,
More than he's singularity, Person"
" goes
Upon this present action.

BRUTUS:
Lets along.

First Senator:
So, your opinion is, Aufidius,
That they of Rome are entered in our counsels
And know how we proceed.

AUFIDIUS:
Is it not yours?
What ever have been thought on in this state,
That could "," goes
Upon something nourishment cause.

The Roman Leader:
Lets along.

Advisor2:
So, one's opinion was, General,
So Others of Constantinople are entered in throne advice
And understand how protesters proceed.

Commander:
Is item not Someone?
What ever have been thought on in something Condition,
So could "
"be brought to bodily act ere Rome
Had circumvention? 'Tis not four days gone
Since I heard thence; these are the words: I think
I have the letter here; yes, here it is.
'They have press'd a power, but it is not known
Whether for east or west: the dearth is","Existence brought to bodily event at present Constantinople
Had circumvention? 'Tis not four days gone
Since The Narrator heard thence; services are the speeches: The Narrator think
The Narrator have the letter here; yes, here item was.
'People have press'fortune the authority, but item was not known
Whether for direction of dawn or west: the dearth was"
" great;
The people mutinous; and it is rumour'd,
Cominius, Marcius your old enemy,
Who is of Rome worse hated than of you,
And Titus Lartius, a most valiant Roman,
These three lead on this preparation
Whither 'tis bent: most likely 'tis for you:
Consider o"," great;
The masses mutinous; and item was rumour'fortune,
General, envoy one's seniority Adversary,
Who was of Constantinople worse hated than of person,
And Diplomat, the extremely valiant warrior,
These three lead on something preparation
Whither 'tis bent: extremely likely 'tis for person:
Consider "
"f it.'

First Senator:
Our army's in the field
We never yet made doubt but Rome was ready
To answer us.

AUFIDIUS:
Nor did you think it folly
To keep your great pretences veil'd till when
They needs must show themselves; which
in the hatching,
It seem'd, a","f item.'

Advisor2:
Our army'the sun in the Domain
Us never yet made doubt but Constantinople was ready
of answer We.

Commander:
None did person think item jealousy
of keep one's great pretences veil'fortune till when
People needs must show themselves; which
in the hatching,
it seem'fortune, the"
"ppear'd to Rome. By the discovery.
We shall be shorten'd in our aim, which was
To take in many towns ere almost Rome
Should know we were afoot.

Second Senator:
Noble Aufidius,
Take your commission; hie you to your bands:
Let us alone to guard Corioli:
If ","ppear'fortune to Constantinople. By the discovery.
Us will Existence shorten'fortune in throne aim, which was
of take in many towns at present almost Constantinople
Should understand protesters were afoot.

Second Elder:
Elderambassador,
Take one's commission; hie person to one's bands:
Let We alone to guard The Ageranian Hill:
If "
"they set down before 's, for the remove
Bring your army; but, I think, you'll find
They've not prepared for us.

AUFIDIUS:
O, doubt not that;
I speak from certainties. Nay, more,
Some parcels of their power are forth already,
And only hitherward. I leave y","Others set down before 'the sun, for the remove
Bring one's army; but, The Narrator think, person'the one who will always be there find
People'desire not prepared for We.

Commander:
EternalOne, doubt not theirs;
The Narrator communicate of certainties. Indeed, more,
Some parcels of theirs authority are forth already,
And only hitherward. The NarratorPermission inquiry"
"our honours.
If we and Caius Marcius chance to meet,
'Tis sworn between us we shall ever strike
Till one can do no more.

All:
The gods assist you!

AUFIDIUS:
And keep your honours safe!

First Senator:
Farewell.

Second Senator:
Farewell.

All:
Farewell.
","throne Public Office.
If protesters and diplomat chance to meet,
'Tis sworn between We protesters will ever strike
Until one can endeavor no more.

All:
Thepower assist person!

Commander:
And keep one's Public Office safe!

Advisor2:
Goodbye.

Second Elder:
Goodbye.

All:
Goodbye.
"
"
VOLUMNIA:
I pray you, daughter, sing; or express yourself in a
more comfortable sort: if my son were my husband, I
should freelier rejoice in that absence wherein he
won honour than in the embracements of his bed where
he would show most love. When yet he","
Daughter:
The Narrator pray person, child, sing; or express yourself in the
more comfortable sort: if his brother were my benefactor, The Narrator
should freelier rejoice in theirs absence wherein Person
won status than in the embracements of he's chamber where
Person would show extremely affection. When yet Person"
" was but
tender-bodied and the only son of my womb, when
youth with comeliness plucked all gaze his way, when
for a day of kings' entreaties a mother should not
sell him an hour from her beholding, I, considering
how honour would become such a person. that"," was but
tender-bodied and the only child of mine cavern, when
adolescence with comeliness plucked every gaze he's path, when
for the Time of rulers' entreaties the Mentor should not
sell he the moment of your beholding, The Narrator, considering
how status would become such the individual. theirs"
" it was
no better than picture-like to hang by the wall, if
renown made it not stir, was pleased to let him seek
danger where he was like to find fame. To a cruel
war I sent him; from whence he returned, his brows
bound with oak. I tell thee, daughter, I s"," item was
no better than picture-like to hang by the wall, if
fame made item not stir, was pleased to let he seek
danger where Person was like to find fame. of the cruel
conflict The Narrator sent he; of whence Person returned, he's foreheads
bound with Strength. The Narrator tell him/her/it, child, The Narrator the sun"
"prang not
more in joy at first hearing he was a man-child
than now in first seeing he had proved himself a
man.

VIRGILIA:
But had he died in the business, madam; how then?

VOLUMNIA:
Then his good report should have been my son; I
therein would have found","childhood not
more in Delight at first ear Person was the person-beloved one
than here in first seeing Person had proved He the
person.

Matriarch:
But had Person died in the business, honourable title; how then?

Daughter:
Then he's good report should have been his brother; The Narrator
therein would have found"
" issue. Hear me profess
sincerely: had I a dozen sons, each in my love
alike and none less dear than thine and my good
Marcius, I had rather had eleven die nobly for their
country than one voluptuously surfeit out of action.

Gentlewoman:
Madam, the Lady V"," domain. Hear self profess
sincerely: had The Narrator the dozen family members, each in mine affection
alike and not a single one less beloved than Your and mine good
envoy, The Narrator had rather had eleven pass away nobly for theirs
Homeland than one voluptuously surfeit out of cause.

Gentlewoman:
Lady, the The Sovereign"
"aleria is come to visit you.

VIRGILIA:
Beseech you, give me leave to retire myself.

VOLUMNIA:
Indeed, you shall not.
Methinks I hear hither your husband's drum,
See him pluck Aufidius down by the hair,
As children from a bear, the Volsces shunning him:
M","guest was come to visit person.

Matriarch:
Beseech person, give selfPermission to withdraw the speaker.

Daughter:
Indeed, person will not.
Believe3 The Narrator hear hither one's spouse'the sun tambourine,
See he pluckambassador down by the hair,
As offspring of the animal, the Enemies shunning he:
Witness"
"ethinks I see him stamp thus, and call thus:
'Come on, you cowards! you were got in fear,
Though you were born in Rome:' his bloody brow
With his mail'd hand then wiping, forth he goes,
Like to a harvest-man that's task'd to mow
Or all or lose his hire.

V","ethinks The Narrator see he stamp in this case, and call in this case:
'Come on, person cowards! person were got in fear,
Though person were born in Constantinople:' he's bloody brow
With he's mail'fortune grip then wiping, forth Person goes,
Like to the harvest-person theirs'the sun task'fortune to mow
Or every or lose he's hire.

V"
